contrast,estimate,SE,df,t.ratio,p.value
"Hypotension,DW_ANP - Hypotension,UP_ACE2",-150.50000000000200,2.2412114292878600,688,-67.15118352212900,2.3777463581738E-302
"Hypotension,DW_ANP - Hypotension,UP_IL10",49.99999999999900,2.2522792073601400,688,22.199734312071900,8.49361639201639E-81
"Hypotension,DW_ANP - Hypotension,UP_NEP",-201.00000000000100,2.252279207360150,688,-89.24293193453100,0
"Hypotension,DW_ANP - Hypotension,WT",-99.99999999999980,2.2522792073601500,688,-44.3994686241445,3.2851642898831E-202
"Hypotension,DW_IFNG - Hypotension,UP_ACE2",-100.50000000000100,2.241211429287860,688,-44.841820225740500,2.06079464233276E-204
"Hypotension,DW_IFNG - Hypotension,UP_IL10",100.00000000000000,2.2522792073601400,688,44.39946862414460,3.2851642898788E-202
"Hypotension,DW_IFNG - Hypotension,UP_NEP",-151.00000000000000,2.252279207360150,688,-67.04319762245830,6.214273993953E-302
"Hypotension,DW_IFNG - Hypotension,WT",-49.99999999999890,2.2522792073601500,688,-22.1997343120718,8.49361639202655E-81
"Hypotension,UP_ACE2 - Hypotension,UP_IL10",200.5000000000010,2.241211429287860,688,89.46054681851670,0
"Hypotension,UP_ACE2 - Hypotension,UP_NEP",-50.499999999999200,2.2412114292878600,688,-22.53245692935160,1.13268706172356E-82
"Hypotension,UP_ACE2 - Hypotension,WT",50.50000000000200,2.2412114292878500,688,22.532456929352900,1.13268706170395E-82
"Hypotension,UP_IL10 - Hypotension,UP_NEP",-251.00000000000000,2.252279207360150,688,-111.44266624660300,0
"Hypotension,UP_IL10 - Hypotension,WT",-149.99999999999900,2.2522792073601400,688,-66.59920293621640,3.26628798689037E-300
"Hypotension,UP_NEP - Hypotension,WT",101.0000000000010,2.2522792073601500,688,44.84346331038650,2.02242971732755E-204
